SPC1,SPC2,SPC3,SPC4,SPC5,SPC6,SPC7,SPC8,SPC9,SPC10,SPC11,SPC12,SPC13,SPC14,SPC15,SPC16,Frustrated,upset,hostile,alert,ashamed,inspired,nervous,attentive,afraid,active,determined
-1.5328334741412875,-0.09795908298582766,-1.6317243889198558,-1.6824178401448098,-0.18347795189809912,-2.8757517579300944,2.3042495780587657,1.1177467034825803,1.321541781000464,0.46820355211055387,-0.4483464655685846,-0.8779740839461336,0.15868097126464814,0.9976761480911678,1.6139921059609348,2.0394892466432295,2,1,1,2,1,2,2,3,1,2,2
-1.4451527910544075,-0.20754453860717822,-1.639504155492221,0.37062722603894754,-0.16095530566524124,0.7046090363591494,2.376253277462331,-0.5568246570239666,0.11288987018397387,-1.2009124534553648,-0.03975808381022954,-0.20985780604720883,0.9225332053009698,0.428752364349905,0.6843443166825806,-1.3669789204647596,3,2,1,3,2,2,2,3,1,3,3
-1.3874400510277116,0.10330328968982967,-1.6467494970958978,0.3286470642970081,-0.13309530598043723,-0.746110925791054,2.6453715824392368,-0.3956915388308009,-0.19270353365672235,-0.9094145214694204,-0.6012620758564923,-2.0219169701099426,2.5677393346235458,-0.2524372250938264,-0.42470914091182754,0.20922922140350614,2,1,1,2,1,3,2,3,2,3,3
-1.3844784532664312,0.7786144186508893,-1.6609764871958348,-1.0523295661123062,-0.13178740024545227,3.6699068639422023,2.9226810289007017,-0.5286301688220194,2.6551586064201227,0.0017082860714393287,-0.6702150073583663,-0.7249502181694036,1.1718662643380042,-0.4094627107878971,-1.2377367186032286,-0.7694761409157785,2,1,1,2,1,3,2,3,2,3,3
-1.3300606672319903,-0.8855185462879402,-1.657953626025323,-0.0562128235507788,-0.13762290338634203,-1.687753776898584,3.141670012243843,-0.9963514800599406,-0.4702858617484655,-1.0957047555562494,-0.5420863743643481,-0.09401623789077777,1.1239767671301937,-0.5476379748776515,-1.0411854798095619,0.25292972123523494,2,3,1,3,2,3,3,4,2,4,4
-1.4424918691240052,1.4282550392533109,-1.6530357371468871,4.546018094353707,-0.18677006685899034,4.8301856567748285,3.5149290761119656,-0.48994292995372274,5.238658806518726,3.291648325165561,2.8977093950897217,-0.811146298797473,0.04411503290111227,1.4837288717507744,3.116657296082034,-2.737589250155746,2,1,1,3,2,3,2,3,2,3,4
-1.2647508466906394,-2.1229587193928703,-1.3959565356656993,0.21813288497671782,-0.45598575990021795,1.0670625262280748,1.7626626672355954,-0.4778932366081771,-0.04312414604537189,-0.9524386169620831,-0.5921726471275074,-0.4188279771599858,-0.6209153687151521,0.448343836488122,0.7566697178475041,-1.545804906742036,0,1,1,1,1,1,1,1,1,1,1
-1.4187377040497873,-0.3873059932775382,-1.6831641151669219,-1.638490351385462,-0.11909614397036297,0.37551882919747875,2.2679332907918566,1.1503738622280792,-0.2753527165550846,-0.4402879716780332,-0.690642845653578,0.05377938842880271,3.879420765657023,-0.7269365107998992,0.39557016998608646,-0.6952716098083738,0,1,1,2,1,3,2,4,1,3,3
-1.4193244021939033,-1.1657825583973733,-1.6211876135664443,-0.1009332344391763,-0.1559724932420501,-0.4461930333563716,2.263458118904866,-0.7907437584815474,0.8822072229448569,-1.2352254086491492,-0.6689893258119385,-0.5109540876791987,0.9378645566704069,0.6992680476351547,-0.890825080177513,0.36773387210262937,1,1,1,1,1,2,1,2,1,2,2
-1.4873262943468286,-0.08083430422740501,-1.6311353022079533,0.2549563404196409,-0.18773238371459156,-2.9889762810864915,3.713108678213265,-0.46167881758685053,3.324500666896214,-0.6710518911593942,-1.011728735230949,-0.6264842013216698,-0.05174237568323068,1.7262259371193849,-0.6603816639906318,1.1977352977338294,2,1,1,3,1,3,3,3,2,4,4
-1.3892024092738013,-0.7492866252823959,-1.6349422845782104,-0.15110294212761713,-0.1415854064222515,0.49105703143040325,3.3284288578170753,-0.841275048749272,0.5702755541413836,-0.3091903910976877,0.860240778340023,-0.20270640232419201,0.6248648127708005,-0.22816336367837647,1.124191464768547,1.5783552936373022,3,2,1,1,2,2,2,2,2,3,3
-1.6769387199072658,0.42808348858444945,-1.6085552670209708,-1.0381413492823937,-0.16109320271638614,-0.32041774293732966,3.992959406326225,0.7368126117982005,-0.6492437291078906,1.6639842719714284,0.43599540872399106,-0.5490582340767676,3.067290446741213,1.4095578940101836,-0.645013030145558,-0.22773650685633234,2,1,1,2,1,2,2,3,2,2,2
-0.8054743409297102,-0.846847516322723,-0.9767326806726075,-0.5901478710208804,-0.15767361294038768,-1.1422109797574658,0.39269733066203544,0.22126132439407015,-0.657647463838345,-1.3790888251278082,0.7841662222888136,-0.5585289235535604,-0.7870337819021623,-0.7207712278422161,0.8314195582698685,1.5755386037856873,0,1,1,1,1,4,1,4,1,3,4
